dis,phi,reg_phi,raw_kdp,reg_kdp,kdp_lsf
20.7,67.31,68.5109090909091,0.3,0.0,0.3868005952380948
20.775,68.49,68.5109090909091,0.3,0.0,0.39516369047618377
20.85,68.85,68.5109090909091,0.3,0.0,0.4490496482683892
20.925,69.54,68.5109090909091,0.3,0.0,0.48497362012986
21.0,67.03,68.5109090909091,0.3,2.5146780303030027,0.5029356060606014
21.075,73.18,69.2653125,0.3,2.5146780303030027,0.502935606060604
21.15,68.05,69.2653125,0.3,0.0,0.48497362012986606
21.225,67.94,69.2653125,0.3,0.0,0.4490496482683978
21.3,69.45,69.2653125,0.3,0.0,0.39516369047618194
21.375,70.61,69.2653125,0.3,0.0,0.32331574675324554
21.45,67.28,69.2653125,0.3,0.0,0.233505817099573
21.525,71.1,69.2653125,0.3,0.0,0.12573390151515576
21.6,70.48,69.2653125,0.3,0.0,0.0
21.675,70.36,69.2653125,0.3,0.0,3.0467684001504933e-15
21.75,69.33,69.2653125,0.4,0.0,0.0
21.825,72.07,69.2653125,0.4,0.0,3.3620367133363705e-16
21.9,70.62,69.2653125,0.4,0.0,0.0
21.975,70.13,69.2653125,0.4,0.0,0.0
22.05,70.18,69.2653125,0.4,0.0,0.0
22.125,67.71,69.2653125,0.4,0.0,0.0
22.2,68.13,69.2653125,0.4,0.0,3.305257753370278e-15
22.275,70.17,69.2653125,0.4,0.0,6.917675725649417e-15
22.35,69.64,69.2653125,0.4,0.0,0.0
22.425,69.89,69.2653125,0.4,0.0,3.59931174910005e-15
22.5,68.79,69.2653125,0.4,0.0,0.0
22.575,65.68,69.2653125,0.4,0.0,0.0
22.65,69.28,69.2653125,0.4,0.0,0.0
22.725,68.75,69.2653125,0.4,0.0,7.749394485803508e-15
22.8,67.64,69.2653125,0.4,0.0,0.0
22.875,68.72,69.2653125,0.4,0.0,0.0
22.95,70.78,69.2653125,0.4,0.0,0.06578124999998876
23.025,69.86,69.2653125,0.4,0.0,0.1499429563492195
23.1,70.56,69.2653125,0.4,0.0,0.2207390873015823
23.175,66.54,69.2653125,0.4,0.0,0.2781696428571459
23.25,68.2,69.2653125,0.4,0.0,0.3222346230158714
23.325,68.35,69.2653125,0.4,0.0,0.3529340277777756
23.4,67.02,69.2653125,0.4,1.3156249999999545,0.37026785714286203
23.475,69.66,69.66,0.3,1.8711805555555259,0.374236111111117
23.55,70.71,69.82666666666667,0.3,0.5555555555555713,0.3648387896825396
23.625,69.37,69.82666666666667,0.3,0.0,0.3420758928571479
23.7,70.03,69.82666666666667,0.3,0.0,0.5415029761904753
23.775,70.83,69.82666666666667,0.3,0.0,0.6939136904761816
23.85,69.67,69.82666666666667,0.3,0.0,0.7993080357142689
23.925,69.14,69.82666666666667,0.3,0.0,0.8576860119047313
24.0,69.86,69.82666666666667,0.3,0.0,0.8690476190475912
24.075,69.09,69.82666666666667,0.3,0.0,0.9794047619047376
24.15,69.74,69.82666666666667,0.3,4.7111111111107675,1.07376984126982
24.225,72.48,71.23999999999998,0.3,4.711111111110739,1.124365079365052
24.3,71.84,71.23999999999998,0.3,0.0,1.131190476190458
24.375,71.39,71.23999999999998,0.3,0.0,1.0942460317460154
