dis_mid,raw_kdp_abs_diff,reg_kdp_abs_diff,kdp_lsf_abs_diff
19.8375,0.0,0.5305555555555657,0.04614632034633326
19.9125,0.0,0.0,0.01710562770562052
19.987499999999997,0.0,0.5305555555555372,0.011935064935071127
20.0625,0.0,0.9111111111110688,0.040975757575758
20.137500000000003,0.0,1.2696969696970086,0.07001645021646008
20.2125,0.0,0.9111111111110972,0.02166666666666539
20.2875,0.0,1.2696969696970086,0.0410335497835384
20.362499999999997,0.0,0.0,0.06040043290044811
20.4375,0.0,0.0,0.07976731601731779
20.512500000000003,0.0,0.0,0.056917162698423895
20.5875,0.0,0.0,0.0233779761904791
20.6625,0.0,0.0,0.010161210317469416
20.737499999999997,0.0,0.0,0.008363095238088925
20.8125,0.0,0.0,0.05388595779220551
20.887500000000003,0.0,0.0,0.03592397186147078
20.9625,0.0,2.5146780303030027,0.017961985930741386
21.0375,0.0,0.0,2.55351295663786e-15
21.112499999999997,0.0,2.5146780303030027,0.017961985930737945
21.1875,0.0,0.0,0.035923971861468174
21.262500000000003,0.0,0.0,0.053885957792215944
21.3375,0.0,0.0,0.0718479437229364
21.4125,0.0,0.0,0.08980992965367249
21.487499999999997,0.0,0.0,0.10777191558441729
21.5625,0.0,0.0,0.1257339015151557
21.637500000000003,0.0,0.0,3.0467684001504933e-15
21.7125,0.10000000000000003,0.0,3.0467684001504933e-15
21.7875,0.0,0.0,3.36203671333637e-16
21.862499999999997,0.0,0.0,3.36203671333637e-16
21.9375,0.0,0.0,0.0
22.012500000000003,0.0,0.0,0.0
22.0875,0.0,0.0,0.0
22.1625,0.0,0.0,3.305257753370278e-15
22.237499999999997,0.0,0.0,3.612417972279139e-15
22.3125,0.0,0.0,6.917675725649417e-15
22.387500000000003,0.0,0.0,3.59931174910005e-15
22.4625,0.0,0.0,3.59931174910005e-15
22.5375,0.0,0.0,0.0
22.612499999999997,0.0,0.0,0.0
22.6875,0.0,0.0,7.749394485803508e-15
22.762500000000003,0.0,0.0,7.749394485803508e-15
22.8375,0.0,0.0,0.0
22.9125,0.0,0.0,0.0657812499999887
22.987499999999997,0.0,0.0,0.0841617063492308
23.0625,0.0,0.0,0.07079613095236278
23.137500000000003,0.0,0.0,0.05743055555556362
23.2125,0.0,0.0,0.04406498015872551
23.2875,0.0,0.0,0.030699404761904192
23.362499999999997,0.0,1.3156249999999543,0.017333829365086373
23.4375,0.10000000000000003,0.5555555555555713,0.003968253968255009
23.512500000000003,0.0,1.3156249999999543,0.00939732142857741
23.5875,0.0,0.5555555555555713,0.022762896825391676
23.6625,0.0,0.0,0.19942708333332737
23.737499999999997,0.0,0.0,0.1524107142857063
23.8125,0.0,0.0,0.10539434523808733
23.887500000000003,0.0,0.0,0.058377976190462366
23.9625,0.0,0.0,0.011361607142859942
24.0375,0.0,0.0,0.11035714285714637
24.112499999999997,0.0,4.711111111110768,0.09436507936508243
24.1875,0.0,2.930988785010413e-14,0.05059523809523192
24.262500000000003,0.0,4.711111111110739,0.006825396825406171
24.3375,0.0,0.0,0.03694444444444267
24.4125,0.0,0.0,0.08071428571426953
