radial_idx	distance	zh	rho	zdr	phi	sd_zdr	sd_phi	zh_qc	rho_qc	zdr_qc	phi_qc	phi_reg	kdp_lsf
147.0000	7.2750	32.0000	0.9950	0.7500	32.5700	0.6157	1.5494	32.0000	0.9950	0.7500	32.5700	32.6875	0.4846
147.0000	7.3500	33.5000	0.8900	0.1875	36.5500	0.5957	1.5317	nan	nan	nan	nan	32.6875	0.0000
147.0000	7.4250	31.5000	0.9000	0.0000	33.0600	0.5339	1.4905	31.5000	0.9000	0.0000	33.0600	33.0600	0.5968
147.0000	7.5000	32.0000	0.8800	-0.3750	34.6400	0.5457	1.2345	nan	nan	nan	nan	33.0600	0.0000
147.0000	7.5750	34.0000	0.9900	1.1875	33.3100	0.5822	1.1613	34.0000	0.9900	1.1875	33.3100	33.0982	0.7324
147.0000	7.6500	30.0000	0.9900	1.0000	34.3200	0.5654	0.6600	30.0000	0.9900	1.0000	34.3200	33.0982	0.7953
147.0000	7.7250	34.5000	0.9900	0.9375	33.5000	0.5335	0.6367	34.5000	0.9900	0.9375	33.5000	33.0982	0.8815
147.0000	7.8000	33.0000	0.9900	1.1250	33.0800	0.1717	0.9080	33.0000	0.9900	1.1250	33.0800	33.0982	0.9636
147.0000	7.8750	32.0000	0.9850	0.8750	32.6800	0.1799	0.9440	32.0000	0.9850	0.8750	32.6800	33.0982	1.0416
147.0000	7.9500	34.0000	0.9900	1.3750	33.4100	0.1851	1.1257	34.0000	0.9900	1.3750	33.4100	33.0982	1.1155
147.0000	8.0250	34.0000	0.9900	0.8750	35.6200	0.1860	1.3715	34.0000	0.9900	0.8750	35.6200	33.0982	1.1852
147.0000	8.1000	33.5000	0.9800	0.8125	32.9000	0.1825	1.3707	33.5000	0.9800	0.8125	32.9000	33.0982	1.2508
147.0000	8.1750	37.5000	0.9950	0.8750	31.6100	0.2176	1.5751	37.5000	0.9950	0.8750	31.6100	33.0982	1.0479
147.0000	8.2500	38.5000	0.9950	1.0625	30.9600	0.1294	1.9253	38.5000	0.9950	1.0625	30.9600	33.0982	1.1697
147.0000	8.3250	35.0000	0.9850	0.8750	32.6900	0.3124	1.8261	35.0000	0.9850	0.8750	32.6900	33.0982	1.4715
147.0000	8.4000	36.5000	0.9900	0.6250	35.0900	0.3182	1.8103	36.5000	0.9900	0.6250	35.0900	34.9450	1.3813
147.0000	8.4750	38.0000	0.9950	1.0000	36.3200	0.3182	1.7554	38.0000	0.9950	1.0000	36.3200	34.9450	1.5294
147.0000	8.5500	37.0000	0.9850	1.6875	34.8500	0.3251	1.3813	37.0000	0.9850	1.6875	34.8500	34.9450	1.6639
147.0000	8.6250	37.5000	0.9950	0.7500	33.5200	0.3338	1.1659	37.5000	0.9950	0.7500	33.5200	34.9450	1.7888
147.0000	8.7000	39.0000	0.9950	1.1250	35.8200	0.2910	1.3908	39.0000	0.9950	1.1250	35.8200	35.7433	1.9004
147.0000	8.7750	37.0000	0.9900	0.8125	36.8400	0.2910	1.3675	37.0000	0.9900	0.8125	36.8400	35.7433	1.9985
147.0000	8.8500	37.0000	0.9800	1.2500	37.1100	0.1790	1.3541	37.0000	0.9800	1.2500	37.1100	35.7433	2.0832
147.0000	8.9250	38.5000	0.9950	1.0000	33.4800	0.1825	1.1235	38.5000	0.9950	1.0000	33.4800	35.7433	2.1545
147.0000	9.0000	36.5000	0.9800	1.0000	36.0300	0.1825	1.1451	36.5000	0.9800	1.0000	36.0300	35.7433	2.2649
147.0000	9.0750	41.5000	0.9950	0.7500	35.1800	0.2538	1.1001	41.5000	0.9950	0.7500	35.1800	35.7433	2.3817
147.0000	9.1500	38.0000	0.9900	1.2500	36.2700	0.2932	1.4956	38.0000	0.9900	1.2500	36.2700	36.2700	2.4831
147.0000	9.2250	40.5000	0.9850	1.1250	36.4500	0.2996	1.2915	40.5000	0.9850	1.1250	36.4500	36.4000	2.5934
147.0000	9.3000	42.5000	0.9900	1.6250	36.3500	0.3470	1.3908	42.5000	0.9900	1.6250	36.3500	36.4000	2.6862
147.0000	9.3750	41.0000	0.9850	1.5625	38.8800	0.2693	1.4800	41.0000	0.9850	1.5625	38.8800	37.5933	2.7616
147.0000	9.4500	42.0000	0.9800	0.9375	38.6800	0.3254	1.8477	42.0000	0.9800	0.9375	38.6800	37.5933	2.8507
147.0000	9.5250	45.5000	0.9900	1.7500	35.2200	0.2945	2.6688	45.5000	0.9900	1.7500	35.2200	37.5933	3.5691
147.0000	9.6000	45.5000	0.9900	1.3750	39.2800	0.3515	2.4479	45.5000	0.9900	1.3750	39.2800	39.2800	3.6424
147.0000	9.6750	48.5000	0.9900	1.9375	40.8600	0.3551	2.4661	48.5000	0.9900	1.9375	40.8600	40.8600	3.6423
147.0000	9.7500	46.0000	0.9850	1.4375	43.9900	0.3499	3.3751	46.0000	0.9850	1.4375	43.9900	41.7200	3.7304
147.0000	9.8250	48.5000	0.9950	2.0625	40.2600	0.4554	2.5484	48.5000	0.9950	2.0625	40.2600	41.7200	3.8089
147.0000	9.9000	46.0000	0.9950	1.4375	40.9100	0.4908	2.2161	46.0000	0.9950	1.4375	40.9100	41.7200	3.7897
147.0000	9.9750	43.5000	0.9750	2.3750	46.8200	0.5115	2.1145	43.5000	0.9750	2.3750	46.8200	44.2314	3.2146
147.0000	10.0500	44.5000	0.9850	0.9375	44.5200	0.5008	2.1629	44.5000	0.9850	0.9375	44.5200	44.2314	3.2757
147.0000	10.1250	45.5000	0.9900	2.3125	42.5400	0.5373	1.7883	45.5000	0.9900	2.3125	42.5400	44.2314	3.5876
147.0000	10.2000	43.5000	0.9900	1.3125	44.5000	0.5373	1.3490	43.5000	0.9900	1.3125	44.5000	44.2314	3.3339
147.0000	10.2750	42.5000	0.9900	1.6875	44.7500	0.4291	1.1622	42.5000	0.9900	1.6875	44.7500	44.2314	3.3506
147.0000	10.3500	44.0000	0.9900	1.0000	42.6100	0.3820	1.7606	44.0000	0.9900	1.0000	42.6100	44.2314	3.3470
147.0000	10.4250	46.0000	0.9950	1.4375	43.8800	0.2241	1.6038	46.0000	0.9950	1.4375	43.8800	44.2314	3.1115
147.0000	10.5000	45.5000	0.9900	1.3750	46.1000	0.4248	2.0185	45.5000	0.9900	1.3750	46.1000	46.1000	3.0320
147.0000	10.5750	44.0000	0.9800	1.6875	47.8700	0.4304	2.3318	44.0000	0.9800	1.6875	47.8700	47.0250	3.2756
147.0000	10.6500	43.5000	0.9800	1.5625	46.1800	0.3916	1.7745	43.5000	0.9800	1.5625	46.1800	47.0250	3.2331
147.0000	10.7250	46.0000	0.9950	2.5000	48.8100	0.3651	1.4594	46.0000	0.9950	2.5000	48.8100	48.1000	3.1065
147.0000	10.8000	45.0000	0.9900	1.8125	49.4400	0.4367	1.4441	45.0000	0.9900	1.8125	49.4400	48.1000	3.1174
147.0000	10.8750	45.0000	0.9900	2.2500	46.0500	0.4450	1.6429	45.0000	0.9900	2.2500	46.0500	48.1000	3.0279
147.0000	10.9500	41.5000	0.9800	2.0000	49.4400	0.4403	1.4494	41.5000	0.9800	2.0000	49.4400	49.4400	2.9455
147.0000	11.0250	43.0000	0.9900	1.0625	49.7300	0.3822	1.4745	43.0000	0.9900	1.0625	49.7300	49.7300	2.8669
147.0000	11.1000	45.0000	0.9950	1.5625	50.5500	0.3896	1.4962	45.0000	0.9950	1.5625	50.5500	50.0775	2.7836
147.0000	11.1750	44.0000	0.9950	1.6250	50.7600	0.4186	2.6563	44.0000	0.9950	1.6250	50.7600	50.0775	2.7186
147.0000	11.2500	43.5000	0.9900	2.1875	50.2600	0.3849	2.5842	43.5000	0.9900	2.1875	50.2600	50.0775	2.6714
147.0000	11.3250	42.5000	0.9800	1.5625	48.7400	0.3372	2.8422	42.5000	0.9800	1.5625	48.7400	50.0775	2.6345
147.0000	11.4000	43.0000	0.9850	0.9375	57.2800	0.4627	2.9643	43.0000	0.9850	0.9375	57.2800	53.2612	2.5793
147.0000	11.4750	43.0000	0.9900	1.6875	50.9300	0.4586	3.1409	43.0000	0.9900	1.6875	50.9300	53.2612	2.5057
147.0000	11.5500	41.0000	0.9850	1.5625	55.2000	0.3790	3.0187	41.0000	0.9850	1.5625	55.2000	53.2612	2.4750
147.0000	11.6250	38.0000	0.9850	0.6875	55.1100	0.3765	2.5513	38.0000	0.9850	0.6875	55.1100	53.2612	2.4288
147.0000	11.7000	37.5000	0.9800	1.3750	49.2500	0.4723	2.0390	37.5000	0.9800	1.3750	49.2500	53.2612	2.3671
147.0000	11.7750	38.5000	0.9900	0.8125	52.5000	0.4178	1.9411	38.5000	0.9900	0.8125	52.5000	53.2612	2.2900
147.0000	11.8500	37.0000	0.9900	0.8125	53.8800	0.3251	2.0711	37.0000	0.9900	0.8125	53.8800	53.2612	2.1974
147.0000	11.9250	35.5000	0.9900	0.3125	51.9400	0.3288	2.0009	35.5000	0.9900	0.3125	51.9400	53.2612	2.0893
147.0000	12.0000	35.0000	0.9900	0.5000	53.9900	0.2335	1.8685	35.0000	0.9900	0.5000	53.9900	53.9900	2.2742
147.0000	12.0750	38.5000	0.9950	1.0625	55.9600	0.2287	1.7063	38.5000	0.9950	1.0625	55.9600	55.2250	1.9590
147.0000	12.1500	35.0000	0.9750	0.6250	54.4900	0.2673	1.6754	35.0000	0.9750	0.6250	54.4900	55.2250	2.2480
147.0000	12.2250	32.5000	0.9700	0.5000	57.8500	0.2474	1.2459	32.5000	0.9700	0.5000	57.8500	55.3975	2.2232
147.0000	12.3000	37.0000	0.9950	0.7500	54.8800	0.3025	1.2165	37.0000	0.9950	0.7500	54.8800	55.3975	1.8920
147.0000	12.3750	32.0000	0.9850	0.1875	54.5500	0.3549	1.6615	32.0000	0.9850	0.1875	54.5500	55.3975	2.2053
147.0000	12.4500	35.0000	0.9950	0.5625	54.3100	0.3642	1.6401	35.0000	0.9950	0.5625	54.3100	55.3975	2.1856
147.0000	12.5250	34.5000	0.9900	1.1250	56.4500	0.3495	1.5424	34.5000	0.9900	1.1250	56.4500	56.4500	2.1588
147.0000	12.6000	33.5000	0.9850	1.3125	58.7000	0.3549	1.7637	33.5000	0.9850	1.3125	58.7000	57.1900	2.1312
147.0000	12.6750	35.0000	0.9900	1.0000	57.5700	0.2732	1.7276	35.0000	0.9900	1.0000	57.5700	57.1900	2.0963
147.0000	12.7500	35.0000	0.9900	0.6875	55.3000	0.2487	1.2804	35.0000	0.9900	0.6875	55.3000	57.1900	2.0540
147.0000	12.8250	32.0000	0.9850	0.6250	58.9000	0.2945	1.3597	32.0000	0.9850	0.6250	58.9000	57.5511	2.0247
147.0000	12.9000	32.5000	0.9900	0.6250	58.9600	0.2732	1.3087	32.5000	0.9900	0.6250	58.9600	57.5511	1.9989
147.0000	12.9750	33.0000	0.9900	0.8125	58.0300	0.2315	1.5107	33.0000	0.9900	0.8125	58.0300	57.5511	1.9666
147.0000	13.0500	31.5000	0.9800	0.3125	55.9500	0.4043	1.1886	31.5000	0.9800	0.3125	55.9500	57.5511	1.9398
147.0000	13.1250	30.0000	0.9850	0.1250	58.1200	0.4090	1.1667	30.0000	0.9850	0.1250	58.1200	57.5511	1.9070
