dis,phi,reg_phi,smt_kdp
48.900000,56.070000,73.657197,0.000000
48.975000,65.920000,73.657197,0.000000
49.050000,62.180000,73.657197,0.000000
49.125000,62.190000,73.657197,0.000000
49.200000,74.070000,73.657197,0.000000
49.275000,64.180000,73.657197,0.000000
49.350000,70.520000,73.657197,0.000000
49.425000,68.900000,73.657197,0.000000
49.500000,68.880000,73.657197,0.000000
49.575000,69.630000,73.657197,0.000000
49.650000,71.890000,73.657197,0.000000
49.725000,65.330000,73.657197,0.000000
49.800000,69.890000,73.657197,0.000000
49.875000,62.820000,73.657197,0.000000
49.950000,73.570000,73.657197,0.000000
50.025000,71.800000,73.657197,0.000000
50.100000,66.990000,73.657197,0.000000
50.175000,76.020000,73.657197,0.000000
50.250000,67.430000,73.657197,0.000000
50.325000,62.910000,73.657197,0.000000
50.400000,73.710000,73.657197,0.000000
50.475000,72.100000,73.657197,0.000000
50.550000,69.040000,73.657197,0.000000
50.625000,71.650000,73.657197,0.000000
50.700000,70.100000,73.657197,0.000000
50.775000,71.100000,73.657197,0.000000
50.850000,73.790000,73.657197,0.000000
50.925000,75.150000,73.657197,0.000000
51.000000,71.000000,73.657197,0.000000
51.075000,75.290000,73.657197,0.000000
51.150000,70.930000,73.657197,0.000000
51.225000,70.380000,73.657197,0.000000
51.300000,77.950000,73.657197,0.000000
51.375000,74.530000,73.657197,0.000000
51.450000,77.980000,73.657197,1.125673
51.525000,77.380000,73.657197,1.125673
51.600000,57.240000,73.657197,0.562837
51.750000,108.740000,74.501452,1.125673
51.825000,68.300000,74.501452,1.125673
51.900000,114.400000,74.501452,0.000000
51.975000,84.860000,74.501452,0.000000
52.800000,67.650000,74.501452,0.000000
52.875000,79.990000,74.501452,0.000000
52.950000,66.780000,74.501452,0.000000
53.025000,71.330000,74.501452,0.000000
53.100000,71.280000,74.501452,0.000000
53.175000,67.130000,74.501452,0.000000
53.250000,68.480000,74.501452,0.000000
53.325000,74.680000,74.501452,0.000000
53.400000,77.300000,74.501452,0.000000
53.475000,76.700000,74.501452,0.000000
53.550000,72.440000,74.501452,0.000000
53.625000,70.630000,74.501452,0.000000
53.700000,77.510000,74.501452,0.000000
53.775000,72.940000,74.501452,0.000000
53.850000,73.510000,74.501452,0.000000
53.925000,72.500000,74.501452,0.000000
54.000000,79.290000,74.501452,0.000000
54.075000,67.210000,74.501452,0.000000
55.275000,69.580000,74.501452,0.000000
55.350000,72.700000,74.501452,0.000000
55.425000,70.550000,74.501452,0.000000
55.500000,71.350000,74.501452,0.000000
55.575000,66.860000,74.501452,0.000000
55.650000,72.660000,74.501452,0.000000
55.725000,73.750000,74.501452,0.000000
55.800000,75.650000,74.501452,0.000000
55.875000,74.170000,74.501452,0.000000
55.950000,69.680000,74.501452,0.000000
56.025000,81.660000,74.501452,0.000000
56.100000,75.090000,74.501452,0.000000
56.175000,80.060000,74.501452,0.000000
56.250000,72.350000,74.501452,0.000000
56.325000,78.010000,74.501452,0.000000
56.400000,83.040000,74.501452,0.000000
56.475000,81.470000,74.501452,0.000000
56.550000,92.050000,74.501452,0.000000
57.000000,45.410000,74.501452,0.000000
57.075000,85.630000,74.501452,0.000000
57.150000,70.420000,74.501452,0.000000
57.225000,73.960000,74.501452,0.000000
57.300000,77.690000,74.501452,0.000000
57.375000,66.960000,74.501452,0.000000
57.450000,60.950000,74.501452,0.000000
62.475000,68.290000,74.501452,0.000000
62.550000,84.200000,74.501452,0.000000
62.625000,64.860000,74.501452,0.000000
62.700000,67.910000,74.501452,0.000000
62.775000,69.820000,74.501452,0.000000
62.850000,73.000000,74.501452,0.000000
62.925000,79.180000,74.501452,0.000000
63.000000,81.340000,74.501452,0.000000
63.075000,72.940000,74.501452,0.000000
63.150000,74.100000,74.501452,0.000000
63.225000,80.560000,74.501452,0.000000
63.300000,70.390000,74.501452,0.000000
63.450000,77.800000,74.501452,2.094781
63.525000,63.290000,74.501452,2.094781
63.600000,66.060000,74.501452,2.094781
63.675000,116.670000,76.072537,2.094781
63.750000,76.030000,76.072537,2.094781
63.825000,54.840000,76.072537,0.000000
63.900000,60.470000,76.072537,0.000000
63.975000,83.360000,76.072537,0.000000
64.050000,83.810000,76.072537,0.000000
64.125000,81.500000,76.072537,0.000000
64.200000,72.180000,76.072537,0.000000
64.275000,81.650000,76.072537,0.000000
64.350000,74.590000,76.072537,0.000000
