dis,phi,reg_phi
34.2,70.42,73.65719665271968
34.275,87.03,73.65719665271968
34.35,79.43,73.65719665271968
34.425000000000004,57.04,73.65719665271968
34.5,73.65,73.65719665271968
34.575,71.8,73.65719665271968
34.65,69.2,73.65719665271968
34.725,72.62,73.65719665271968
34.800000000000004,87.29,73.65719665271968
34.875,81.07,73.65719665271968
35.550000000000004,53.39,73.65719665271968
35.625,83.74,73.65719665271968
35.7,78.17,73.65719665271968
35.775,62.89,73.65719665271968
35.85,53.14,73.65719665271968
35.925000000000004,81.9,73.65719665271968
36.075,60.89,73.65719665271968
36.15,76.05,73.65719665271968
36.9,68.23,73.65719665271968
36.975,52.59,73.65719665271968
40.8,64.54,73.65719665271968
40.875,59.99,73.65719665271968
41.25,79.07,73.65719665271968
41.325,65.62,73.65719665271968
41.4,64.19,73.65719665271968
41.475,74.75,73.65719665271968
41.55,64.79,73.65719665271968
41.625,80.92,73.65719665271968
41.7,74.65,73.65719665271968
41.775,74.34,73.65719665271968
41.85,67.33,73.65719665271968
41.925,60.63,73.65719665271968
42.0,75.13,73.65719665271968
42.075,74.72,73.65719665271968
42.15,67.08,73.65719665271968
42.225,84.81,73.65719665271968
42.3,64.08,73.65719665271968
42.375,78.03,73.65719665271968
42.45,73.98,73.65719665271968
42.675,62.77,73.65719665271968
42.75,79.69,73.65719665271968
42.825,105.73,73.65719665271968
43.125,80.08,73.65719665271968
43.2,74.62,73.65719665271968
44.1,76.46,73.65719665271968
44.175,68.58,73.65719665271968
44.25,64.3,73.65719665271968
44.55,80.1,73.65719665271968
44.625,66.11,73.65719665271968
44.7,77.58,73.65719665271968
44.775,77.14,73.65719665271968
44.85,72.2,73.65719665271968
44.925,71.74,73.65719665271968
45.0,68.11,73.65719665271968
45.075,59.34,73.65719665271968
45.15,77.07,73.65719665271968
45.225,52.37,73.65719665271968
45.3,86.34,73.65719665271968
45.375,78.72,73.65719665271968
45.45,69.74,73.65719665271968
45.525,77.68,73.65719665271968
45.6,71.7,73.65719665271968
45.675,69.54,73.65719665271968
45.75,97.18,73.65719665271968
45.825,86.47,73.65719665271968
45.9,73.15,73.65719665271968
45.975,54.14,73.65719665271968
46.05,66.51,73.65719665271968
46.125,63.68,73.65719665271968
46.2,51.46,73.65719665271968
46.275,68.72,73.65719665271968
46.35,65.73,73.65719665271968
46.425,70.43,73.65719665271968
46.5,69.0,73.65719665271968
46.575,68.64,73.65719665271968
46.65,85.34,73.65719665271968
46.725,64.52,73.65719665271968
46.8,76.42,73.65719665271968
46.875,65.95,73.65719665271968
46.95,76.56,73.65719665271968
47.025,74.98,73.65719665271968
47.1,77.28,73.65719665271968
47.175,82.11,73.65719665271968
47.25,81.88,73.65719665271968
47.325,61.02,73.65719665271968
47.4,64.18,73.65719665271968
47.475,84.73,73.65719665271968
47.55,69.04,73.65719665271968
47.625,83.31,73.65719665271968
47.7,65.31,73.65719665271968
47.775,71.02,73.65719665271968
47.85,77.45,73.65719665271968
47.925,68.96,73.65719665271968
48.0,63.08,73.65719665271968
48.075,85.23,73.65719665271968
