dis,phdp,raw_kdp
78.525,86.65,0.3
78.6,81.67,0.3
78.675,89.2,0.3
78.75,70.95,0.3
78.825,96.94,0.3
78.9,80.4,0.3
78.975,80.92,0.3
79.05,73.76,0.3
79.125,89.65,0.3
79.2,83.32,0.3
79.275,78.76,0.3
79.35,76.69,0.3
79.425,85.07,0.3
79.5,93.22,0.3
79.575,68.34,0.3
79.65,83.23,0.3
79.725,88.32,0.3
79.8,79.63,0.3
79.875,89.33,0.3
79.95,84.24,0.3
80.025,87.38,0.4
80.1,84.95,0.4
80.175,77.07,0.4
80.25,88.29,0.4
80.325,97.33,0.4
80.4,70.1,0.4
80.475,79.15,0.4
80.55,85.5,0.4
80.625,92.91,0.4
80.7,81.43,0.4
80.775,86.66,0.4
80.85,91.85,0.4
80.925,80.03,0.4
81.0,92.55,0.4
81.075,78.0,0.4
81.15,91.2,0.4
81.225,95.69,0.4
81.3,74.23,0.4
81.375,90.24,0.4
81.45,79.23,0.4
81.525,81.96,0.4
81.6,78.83,0.4
81.675,80.37,0.4
81.75,80.32,0.4
81.825,76.81,0.4
81.9,83.5,0.4
81.975,74.38,0.4
82.05,90.19,0.4
82.125,84.78,0.4
82.2,86.51,0.4
82.275,68.82,0.4
82.35,72.53,0.4
82.425,68.89,0.4
82.5,82.73,0.4
82.575,91.14,0.3
82.65,82.43,0.3
82.725,81.76,0.3
82.8,81.1,0.3
82.875,88.1,0.3
82.95,93.51,0.3
83.025,84.44,0.3
83.1,90.66,0.3
83.175,82.54,0.3
83.25,89.54,0.3
83.325,86.3,0.3
83.4,88.05,0.3
83.475,82.1,0.3
83.55,81.88,0.2
83.625,87.76,0.2
83.7,83.26,0.2
83.775,82.45,0.2
83.85,81.73,0.2
83.925,84.72,0.2
84.0,86.91,0.2
84.075,90.23,0.2
84.15,93.77,0.2
84.225,73.5,0.2
84.3,87.16,0.1
84.375,98.28,0.1
84.45,95.45,0.1
84.525,79.49,0.1
84.6,91.7,0.1
84.675,90.51,0.1
84.75,94.99,0.1
84.825,88.9,0.1
84.9,84.75,0.1
84.975,90.36,0.1
85.05,95.85,0.1
85.125,92.18,0.1
85.2,81.31,0.0
85.275,84.26,0.0
85.35,89.51,0.0
85.425,85.94,0.0
85.5,98.71,0.0
85.575,89.92,0.0
85.65,91.59,0.0
85.725,97.5,0.0
85.8,91.58,0.0
85.875,83.23,0.0
85.95,87.66,0.0
86.025,105.17,0.0
86.1,85.95,0.0
86.175,83.58,NaN
86.25,88.83,NaN
86.325,81.91,NaN
86.4,99.78,NaN
86.475,82.54,NaN
86.55,93.12,0.0
86.625,78.48,0.0
86.7,NaN,NaN
86.775,101.55,NaN
86.85,97.68,NaN
86.925,NaN,NaN
87.0,NaN,NaN
87.075,NaN,NaN
