bin	dis	ZDR	SD_ZDR	PHIDP	SD_PHIDP
538	40.425000				
539	40.500000				
540	40.575000				
541	40.650000				
542	40.725000				
543	40.800000				
544	40.875000				
545	40.950000				
546	41.025000				
547	41.100000				
548	41.175000				
549	41.250000				
550	41.325000				
551	41.400000				
552	41.475000				
553	41.550000				
554	41.625000				
555	41.700000				
556	41.775000				
557	41.850000				
558	41.925000				
559	42.000000				
560	42.075000				
561	42.150000				
562	42.225000				
563	42.300000				
564	42.375000				
565	42.450000				
566	42.525000				
567	42.600000				
568	42.675000				
569	42.750000				
570	42.825000				
571	42.900000				
572	42.975000				
573	43.050000				
574	43.125000				
575	43.200000				
576	43.275000				
577	43.350000				
578	43.425000				
579	43.500000				
580	43.575000				
581	43.650000				
582	43.725000				
583	43.800000				
584	43.875000				
585	43.950000				
586	44.025000				
587	44.100000				
588	44.175000				
589	44.250000				
590	44.325000				
591	44.400000				
592	44.475000				
593	44.550000				
594	44.625000				
595	44.700000				
596	44.775000				
597	44.850000				
598	44.925000				
599	45.000000				
600	45.075000				
601	45.150000				
602	45.225000				
603	45.300000				
604	45.375000				
605	45.450000				
606	45.525000				
607	45.600000				
608	45.675000				
609	45.750000				
610	45.825000				
611	45.900000				
612	45.975000				
613	46.050000				
614	46.125000				
615	46.200000				
616	46.275000				
617	46.350000				
618	46.425000				
619	46.500000				
620	46.575000				
621	46.650000		0.000000		0.000000
622	46.725000		0.500000		15.650000
623	46.800000		0.601647		13.410149
624	46.875000	-0.250000	0.713295	22.120000	12.612893
625	46.950000	0.750000	0.787996	53.420000	13.540797
626	47.025000	1.187500	0.928428	46.400000	12.659413
627	47.100000	1.687500	0.869516	52.010000	11.720841
628	47.175000	2.000000	0.752759	62.210000	6.539012
629	47.250000	-0.500000	0.742844	39.900000	6.448745
630	47.325000	1.187500	0.780523	46.320000	6.388145
631	47.400000	1.437500	0.803770	47.400000	7.251269
632	47.475000	0.937500	0.709246	45.940000	6.776680
633	47.550000	1.812500	0.458585	49.430000	6.720833
634	47.625000	0.375000	0.463770	38.130000	8.509950
635	47.700000	0.562500	0.495355	28.440000	8.053754
636	47.775000	1.187500	0.669583	43.700000	7.605627
637	47.850000	0.812500	0.774473	26.690000	8.670794
638	47.925000	0.250000	0.873632	42.410000	8.741154
639	48.000000	2.125000	0.863352	40.040000	8.379555
640	48.075000	-0.562500	0.861411	54.090000	8.439974
641	48.150000	1.937500	0.892500	35.880000	6.875570
642	48.225000	1.062500	1.066806	50.170000	7.442355
643	48.300000	0.750000	1.031704	37.950000	7.454261
644	48.375000	0.250000	0.930287	34.240000	6.219304
645	48.450000	-0.875000	0.803671	50.210000	5.974031
646	48.525000	1.937500	1.030080	39.850000	4.956681
647	48.600000	0.250000	1.047881	36.530000	5.034545
648	48.675000	0.250000	1.052587	44.150000	5.223525
649	48.750000	2.375000	0.815194	38.780000	4.305785
650	48.825000	1.250000	0.721835	36.950000	4.442870
651	48.900000	0.187500	0.679511	48.990000	4.486438
652	48.975000	0.812500	0.951301	36.910000	4.431967
653	49.050000	0.812500	0.866578	43.560000	4.275136
654	49.125000	1.000000	0.863075	46.890000	5.233297
655	49.200000	-1.000000	0.854161	41.240000	4.422978
656	49.275000	2.000000	0.850889	43.880000	4.909031
657	49.350000	0.062500	0.998324	32.700000	5.135577
658	49.425000	0.375000	0.966185	39.400000	5.404660
659	49.500000	0.375000	0.878455	48.770000	5.429638
