dis_mid,azimuth_deg,raw_kdp_abs_diff,reg_kdp_abs_diff,kdp_lsf_abs_diff
21.487499999999997,155.81999,NaN,NaN,NaN
21.5625,155.81999,NaN,NaN,NaN
21.637500000000003,155.81999,NaN,NaN,NaN
21.7125,155.81999,NaN,NaN,NaN
21.7875,155.81999,NaN,NaN,NaN
21.862499999999997,155.81999,NaN,NaN,NaN
21.9375,155.81999,NaN,NaN,NaN
22.012500000000003,155.81999,NaN,NaN,NaN
22.0875,155.81999,NaN,NaN,NaN
22.1625,155.81999,NaN,NaN,NaN
22.237499999999997,155.81999,NaN,NaN,NaN
22.3125,155.81999,NaN,4.873879078104437e-14,1.6231130488945535e-16
22.387500000000003,155.81999,NaN,NaN,NaN
22.4625,155.81999,NaN,NaN,NaN
22.5375,155.81999,NaN,NaN,NaN
22.612499999999997,155.81999,NaN,NaN,NaN
22.6875,155.81999,NaN,NaN,NaN
22.762500000000003,155.81999,NaN,NaN,NaN
22.8375,155.81999,NaN,NaN,NaN
22.9125,155.81999,NaN,NaN,NaN
22.987499999999997,155.81999,NaN,NaN,NaN
23.0625,155.81999,NaN,NaN,NaN
23.137500000000003,155.81999,NaN,NaN,NaN
23.2125,155.81999,NaN,NaN,NaN
23.2875,155.81999,NaN,NaN,NaN
23.362499999999997,155.81999,NaN,NaN,NaN
23.4375,155.81999,NaN,NaN,NaN
23.512500000000003,155.81999,NaN,NaN,NaN
23.5875,155.81999,NaN,NaN,NaN
23.6625,155.81999,NaN,NaN,NaN
23.737499999999997,155.81999,NaN,2.842170943040401e-14,0.0
23.8125,155.81999,NaN,7.37188088351104e-14,1.478107178892224e-16
23.887500000000003,155.81999,NaN,NaN,NaN
23.9625,155.81999,NaN,NaN,NaN
24.0375,155.81999,NaN,NaN,NaN
24.112499999999997,155.81999,NaN,NaN,NaN
24.1875,155.81999,NaN,NaN,NaN
24.262500000000003,155.81999,NaN,NaN,NaN
24.3375,155.81999,NaN,NaN,NaN
24.4125,155.81999,NaN,NaN,NaN
24.487499999999997,155.81999,NaN,NaN,NaN
24.5625,155.81999,NaN,NaN,NaN
24.637500000000003,155.81999,NaN,NaN,NaN
24.7125,155.81999,NaN,NaN,NaN
