dis,phdp,raw_kdp,azimuth_deg,reg_phi,reg_kdp,kdp_lsf
18.45,35.95,0.0,181.45999,44.79793196060881,0.0,2.783807910225812e-15
18.525,46.19,0.0,181.45999,44.79793196060881,0.0,7.129390852766041e-15
18.6,40.43,0.0,181.45999,44.79793196060881,0.0,4.1420470285734445e-15
18.675,38.8,0.0,181.45999,44.79793196060881,0.0,0.0
18.75,39.03,NaN,181.45999,44.79793196060881,0.0,0.0
18.825,44.52,NaN,181.45999,44.79793196060881,0.0,0.0
18.9,12.76,NaN,181.45999,44.79793196060881,0.0,3.728151741185293e-16
18.975,27.03,NaN,181.45999,44.79793196060881,0.0,1.7892694861065981e-16
19.05,48.02,NaN,181.45999,44.79793196060881,0.0,3.445205173819522e-16
19.125,40.79,NaN,181.45999,44.79793196060881,0.0,0.0
19.2,348.23,NaN,181.45999,44.79793196060881,0.0,0.0
19.275,351.21,NaN,181.45999,44.79793196060881,0.0,3.118146234280145e-16
19.35,52.2,NaN,181.45999,44.79793196060881,-2.3245294578089215e-16,3.027664798380645e-16
19.425,NaN,NaN,181.45999,NaN,NaN,NaN
19.5,NaN,NaN,181.45999,NaN,NaN,NaN
19.575,NaN,NaN,181.45999,NaN,NaN,NaN
19.65,NaN,NaN,181.45999,NaN,NaN,NaN
19.725,NaN,NaN,181.45999,NaN,NaN,NaN
19.8,NaN,NaN,181.45999,NaN,NaN,NaN
19.875,NaN,NaN,181.45999,NaN,NaN,NaN
19.95,NaN,NaN,181.45999,NaN,NaN,NaN
20.025,NaN,NaN,181.45999,NaN,NaN,NaN
20.1,NaN,NaN,181.45999,NaN,NaN,NaN
20.175,NaN,NaN,181.45999,NaN,NaN,NaN
20.25,NaN,NaN,181.45999,NaN,NaN,NaN
20.325,NaN,NaN,181.45999,NaN,NaN,NaN
20.4,NaN,NaN,181.45999,NaN,NaN,NaN
20.475,NaN,NaN,181.45999,NaN,NaN,NaN
20.55,NaN,NaN,181.45999,NaN,NaN,NaN
20.625,NaN,NaN,181.45999,NaN,NaN,NaN
20.7,NaN,NaN,181.45999,NaN,NaN,NaN
20.775,NaN,NaN,181.45999,NaN,NaN,NaN
20.85,NaN,NaN,181.45999,NaN,NaN,NaN
20.925,NaN,NaN,181.45999,NaN,NaN,NaN
21.0,NaN,NaN,181.45999,NaN,NaN,NaN
21.075,NaN,NaN,181.45999,NaN,NaN,NaN
21.15,NaN,NaN,181.45999,NaN,NaN,NaN
21.225,NaN,NaN,181.45999,NaN,NaN,NaN
21.3,NaN,NaN,181.45999,NaN,NaN,NaN
21.375,NaN,NaN,181.45999,NaN,NaN,NaN
21.45,NaN,NaN,181.45999,NaN,NaN,NaN
21.525,NaN,NaN,181.45999,NaN,NaN,NaN
21.6,NaN,NaN,181.45999,NaN,NaN,NaN
21.675,NaN,NaN,181.45999,NaN,NaN,NaN
21.75,NaN,NaN,181.45999,NaN,NaN,NaN
21.825,NaN,NaN,181.45999,NaN,NaN,NaN
21.9,NaN,NaN,181.45999,NaN,NaN,NaN
21.975,NaN,NaN,181.45999,NaN,NaN,NaN
22.05,NaN,NaN,181.45999,NaN,NaN,NaN
